1;Danone;Activia Nature;94;4,6;14,1;10,2;3;1,8;0,2;0,15
2.0;Danone;Activia Fruits Fraise;72.0;4.9;10.2;11.6;3.6;1.3;0.8;0.12
3.0;Danone;Activia Fruits Abricot;105.0;3.0;13.3;8.7;3.9;1.1;0.9;0.19
4.0;Danone;Activia 0% Nature;62.0;3.5;10.0;6.7;0.7;0.2;0.5;0.17
5.0;Danone;Activia 0% Fruits;54.0;4.2;9.5;9.1;3.5;1.7;0.9;0.2
6.0;Danone;Danette Chocolat;90.0;4.8;10.4;8.5;1.3;0.0;0.8;0.11
7.0;Danone;Danette Vanille;93.0;4.3;6.2;10.9;0.6;0.8;0.5;0.08
8.0;Danone;Danette Caramel;91.0;4.2;14.6;9.5;1.3;1.4;0.4;0.15
9.0;Danone;Danette Café;76.0;3.1;13.0;9.4;1.7;0.1;0.8;0.19
10.0;Danone;Danette Pistache;105.0;4.0;7.7;9.8;2.7;0.9;0.9;0.06
11.0;Danone;Actimel Nature;96.0;4.6;6.1;10.2;0.3;1.4;0.9;0.19
12.0;Danone;Actimel Fraise;93.0;4.5;10.8;6.1;2.5;1.9;0.7;0.12
13.0;Danone;Actimel Multifruits;70.0;3.3;8.3;8.1;1.3;0.5;0.4;0.16
14.0;Danone;Taillefine 0% Nature;58.0;4.4;14.2;9.3;2.2;0.6;0.0;0.12
15.0;Danone;Taillefine 0% Vanille;67.0;4.4;13.5;5.6;2.1;1.0;0.2;0.11
16.0;Danone;Danonino Fraise;283.0;9.7;41.6;18.3;13.5;3.2;1.2;0.61
17.0;Danone;Danonino Banane;374.0;7.5;24.8;7.6;6.7;3.9;3.2;0.12
18.0;Danone;Oikos Nature;60.0;4.0;8.1;6.4;1.2;1.7;0.3;0.1
19.0;Danone;Oikos Fruits Rouges;78.0;3.5;9.7;5.6;1.2;1.7;1.0;0.19
20.0;Danone;Danacol Nature;120.0;4.4;14.4;7.1;2.7;1.4;0.1;0.06
21.0;Nestlé;Purée Mousline;333.0;6.1;35.8;2.9;8.7;6.9;0.4;0.87
22.0;Nestlé;Nesquik Cacao;351.0;11.7;66.8;18.4;4.4;0.4;7.0;0.07
23.0;Nestlé;Céréales Chocapic;340.0;11.9;70.6;5.6;3.1;1.4;2.2;0.03
24.0;Nestlé;Céréales Lion;343.0;11.5;72.2;1.6;6.6;1.6;8.1;0.07
25.0;Nestlé;Crunch;225.0;6.3;41.2;3.9;7.4;2.1;1.1;0.24
26.0;Nestlé;Smarties;493.0;7.2;52.0;39.3;34.3;16.9;4.9;0.09
27.0;Nestlé;KitKat;393.0;13.7;15.3;20.7;12.8;2.8;2.6;0.11
28.0;Nestlé;After Eight;343.0;14.5;34.9;28.2;12.3;4.9;2.4;0.99
29.0;Nestlé;Quality Street;271.0;9.2;46.1;21.0;5.1;4.5;4.3;0.61
30.0;Nestlé;Nestlé Dessert Noir;329.0;10.5;23.4;27.6;18.2;4.9;1.1;0.87
31.0;Nestlé;Céréales Nesquik;372.0;12.7;75.8;5.4;1.1;0.5;9.1;0.07
32.0;Nestlé;Cookie Crisp;433.0;5.2;50.2;37.1;34.7;18.1;1.1;0.18
33.0;Nestlé;Golden Grahams;214.0;10.1;49.0;18.3;15.9;4.8;0.3;0.86
34.0;Nestlé;Ricoré;273.0;13.4;26.7;8.8;8.0;8.0;1.9;0.68
35.0;Nestlé;Nescafé Classic;340.0;11.4;54.1;11.6;17.5;6.1;1.4;0.35
36.0;Nestlé;Nespresso Capsules;317.0;7.8;31.6;6.1;5.6;2.4;1.0;1.01
37.0;Nestlé;Fitness Chocolat;541.0;7.3;64.3;43.9;26.3;15.1;5.2;0.5
38.0;Nestlé;Chocapic Bio;375.0;7.1;70.8;18.9;6.9;0.3;2.8;0.09
39.0;Nestlé;Nesquik Sans Sucres;343.0;11.7;75.5;20.0;5.3;0.2;2.8;0.03
40.0;Nestlé;Nestlé Dessert Lait;387.0;11.9;19.6;22.4;17.7;9.2;2.7;1.1
41.0;Président;Beurre Doux;633.0;6.9;4.6;2.3;56.8;35.4;1.5;1.11
42.0;Président;Beurre Demi-Sel;383.0;14.4;1.0;0.7;31.9;53.9;1.0;1.73
43.0;Président;Emmental Râpé;297.0;15.2;0.2;1.6;62.0;52.8;2.0;1.55
44.0;Président;Camembert;514.0;22.3;1.9;2.8;20.5;31.6;0.1;0.91
45.0;Président;Brie;433.0;16.5;3.0;0.5;20.5;46.4;0.6;1.47
46.0;Président;Mozzarella;608.0;27.8;1.3;0.1;54.3;25.0;0.1;1.87
47.0;Président;Crème Fraîche Epaisse;262.0;10.7;2.7;0.2;28.8;44.7;0.8;2.17
48.0;Président;Crème Fraîche Légère;435.0;8.3;0.7;1.9;57.0;32.7;0.4;1.12
